Year,Annual_Sunshine_hours
2004,1356.8
2005,1382.2
2006,1472.4
2007,1435.8
2008,1375.4
2009,1456.2
2010,1444.7
2011,1397.9
2012,1330.7
2013,1410.9
2014,1416.5
2015,1445.3
2016,1417.4
2017,1369.8
2018,1560.7
2019,1454.4
2020,1498.3
2021,1386.2
2022,1535.3
2023,1430.1
2024,1280.7
