Year,Annual_Temp_C,Annual_Rainfall_mm
2004,9.44,1207.3
2005,9.41,1079.6
2006,9.7,1171.6
2007,9.56,1192.5
2008,9.02,1292.9
2009,9.14,1207.9
2010,7.94,945.9
2011,9.61,1162.7
2012,8.74,1329.6
2013,8.74,1084.0
2014,9.88,1291.8
2015,9.18,1264.2
2016,9.29,1096.0
2017,9.53,1118.4
2018,9.45,1053.1
2019,9.39,1232.0
2020,9.62,1333.5
2021,9.28,1105.9
2022,10.03,1091.7
2023,9.97,1323.3
2024,9.79,1273.0
