Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes,Annual_Temp_C,Annual_Rainfall_mm,Annual_Humidity_Percent,Annual_Sunshine_hours,Annual_Frost_days,Total_Nitrogen_kg_ha,Total_Phosphate_kg_ha,Total_Potash_kg_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Nitrogen_kg_ha,Phosphorus_kg_ha
2014,Wheat,1935737,8.6,16606009,9.88,1291.8,81.97,1416.5,31.7,146,29,39,7.533333333333334,12.966666666666669,19.266666666666666,14.3,2.033333333333333,5.133333333333333,10.4,7.433333333333334,9.05,14.833333333333332,16.9,19.9,21.2,2.8,7.833333333333334,8.866666666666665,814.5,1335.0,485.6,246.5,256.7,303.0,147.2,118.7,202.0,1291.8,111.79999999999995,60762.25,65894.89,174.2,418.9,568.0,255.2,398.5,325.4,2.204113310050446,21.7,7.199999999999999,2.8,1.9,2230.8250000000003,3807.7166666666662,10943.466666666664,1,0,0,0,63.45796407185629,5.283113772455089
2015,Wheat,1832312,9.0,16444229,9.18,1264.2,80.23,1445.3,43.9,146,29,38,7.966666666666666,11.833333333333334,18.233333333333334,13.6,2.1666666666666665,3.5333333333333337,9.633333333333333,6.3999999999999995,7.683333333333334,13.933333333333334,15.4,17.950000000000003,18.8,1.9,8.3,8.600000000000001,691.5,1254.0,449.7999999999999,250.1,268.4,295.8,140.4,163.6,212.4,1264.1,84.09999999999991,62550.01000000001,72038.55999999998,163.1,506.9,497.6,277.8,349.5,362.5,1.8470675575352635,27.3,12.9,3.6,5.4,1921.601666666667,3739.7066666666665,9072.906666666668,0,1,0,0,63.16542168674699,5.153915662650602
2016,Wheat,1823337,7.9,14383276,9.29,1096.0,81.97,1417.4,54.0,142,29,39,7.733333333333333,11.8,18.933333333333337,13.266666666666667,1.7666666666666666,3.6,10.866666666666667,6.266666666666667,7.699999999999999,14.9,16.85,18.55,19.7,1.6,8.2,8.066666666666666,693.0,1341.0,365.7000000000001,222.7,259.7,248.2,161.2,174.5,163.7,1096.3,83.70000000000005,49595.28999999999,67444.09,162.2,485.0,472.1,298.2,291.29999999999995,342.79999999999995,1.8108937476026084,29.4,15.3,9.2,7.199999999999999,1714.7899999999995,3869.53,8938.426666666666,0,1,0,0,61.86746987951807,5.180060240963855
2017,Wheat,1791830,8.3,14836963,9.53,1118.4,81.87,1369.8,48.3,138,30,37,7.2,13.300000000000002,18.76666666666667,13.066666666666668,1.6333333333333335,4.933333333333334,10.666666666666666,6.6000000000000005,9.116666666666667,14.716666666666669,17.6,18.85,19.3,3.6,8.366666666666669,8.100000000000003,820.5,1324.5,290.20000000000005,188.2,313.90000000000003,326.20000000000005,131.0,211.6,203.5,1118.5,61.5,35419.24,98533.21000000002,154.3,484.9,478.7999999999999,251.8,323.7,363.1,1.5204826929183866,33.2,7.8,7.5,3.5,1715.756666666667,4619.561666666667,8985.48,0,0,0,0,63.09090909090909,5.158545454545455
2018,Wheat,1747673,7.8,13554843,9.45,1053.1,80.13,1560.7,54.0,142,27,35,6.800000000000001,12.033333333333331,20.6,13.266666666666666,1.2999999999999998,4.133333333333334,10.933333333333335,6.233333333333333,8.083333333333332,15.766666666666666,18.549999999999997,21.25,22.6,0.7,7.899999999999998,9.666666666666664,727.5,1419.0,318.6,235.3,171.8,327.29999999999995,187.6,88.80000000000001,137.2,1053.0,127.0,55366.09,29515.240000000005,183.9,455.6,615.5,305.6,468.4,475.0,3.5619212962962963,31.9,15.9,6.2,3.2,1902.0083333333332,2708.713333333333,12679.3,1,1,0,0,62.60606060606061,4.973333333333334
2019,Wheat,1815769,8.9,16224511,9.39,1232.0,81.19,1454.4,48.1,137,26,34,8.033333333333333,12.533333333333331,19.3,12.4,1.7333333333333334,4.266666666666667,11.0,5.833333333333333,8.4,15.15,15.95,19.0,20.7,3.5,8.266666666666666,8.3,756.0,1363.5,275.4,241.0,330.7,384.9,177.4,198.0,221.7,1232.0,52.0,58081.0,109362.49,195.9,470.7999999999999,508.1,279.40000000000003,333.0,346.6,1.5318058486584265,28.799999999999997,9.7,9.6,6.2,2024.4,5010.105,9806.33,0,0,0,0,63.353658536585364,4.923841463414634
2020,Wheat,1387165,7.0,9657885,9.62,1333.5,79.94,1498.3,37.7,121,24,29,7.7,13.4,18.833333333333332,13.4,2.3333333333333335,4.0,10.7,6.6000000000000005,8.7,14.766666666666666,17.5,18.3,19.9,1.9,9.4,8.133333333333331,783.0,1329.0,501.8,141.39999999999998,325.5,364.9,108.6,203.3,218.0,1333.6,153.5999999999999,19993.959999999992,105950.25,156.0,625.9,451.1,265.3,305.7,428.1,1.381623277182236,20.9,13.1,3.5,5.3,1230.1799999999996,4806.549999999999,8495.716666666667,0,1,0,1,63.353658536585364,4.923841463414634
2021,Wheat,1790395,7.8,13987677,9.28,1105.9,81.4,1386.2,62.9,130,22,28,6.566666666666666,11.366666666666667,19.566666666666663,14.166666666666666,1.1333333333333333,2.8000000000000003,11.033333333333331,7.5,7.083333333333334,15.3,16.05,19.9,21.1,0.5,8.566666666666666,8.533333333333333,637.5,1377.0,360.0,228.5,186.0,331.4,107.7,119.3,141.3,1105.9,74.09999999999991,52212.25,34596.0,142.5,487.4,498.5,257.6,371.4,342.4,2.665775401069519,36.400000000000006,21.7,4.8,16.6,1618.5416666666667,2845.8,9753.983333333334,1,1,0,0,63.353658536585364,4.923841463414634
2022,Wheat,1813147,8.6,15539652,10.03,1091.7,78.8,1535.3,44.0,118,17,24,7.4,13.2,20.533333333333335,14.4,1.4,4.533333333333333,10.9,7.733333333333334,8.866666666666667,15.716666666666669,17.25,19.950000000000003,21.7,2.3,8.666666666666668,9.633333333333336,798.0,1414.5,333.5,177.1,161.6,419.7,100.1,110.0,99.8,1091.9,88.09999999999991,31364.409999999996,26114.56,185.5,487.1,583.7,279.09999999999997,375.2000000000001,351.0,3.589790897908979,29.9,12.3,1.7000000000000002,5.8,1570.2866666666666,2539.8133333333335,11985.30666666667,1,0,0,1,63.353658536585364,4.923841463414634
2023,Wheat,1719894,8.1,13979848,9.97,1323.3,81.5,1430.1,45.1,125,17,23,8.200000000000001,12.4,19.799999999999997,14.233333333333334,2.466666666666667,4.366666666666666,11.033333333333331,7.333333333333333,8.383333333333333,15.416666666666664,18.7,20.049999999999997,21.2,2.4,8.033333333333335,8.766666666666664,754.5,1387.5,369.2,247.5,286.20000000000005,420.4,207.9,196.6,231.5,1323.3000000000002,143.30000000000018,61256.25,81910.44000000003,159.9,445.7000000000001,535.5,288.9,384.4,448.8,1.8645543175487465,25.6,12.3,7.1,3.9,2074.875,4412.25,10602.899999999998,1,0,0,0,63.353658536585364,4.923841463414634
