Year,annual_rainfall_mm
1990,1203.6
1991,1024.9
1992,1217.3
1993,1149.4
1994,1216.6
1995,1050.4
1996,935.1
1997,1049.1
1998,1298.8
1999,1271.6
2000,1372.9
2001,1050.0
2002,1280.5
2003,900.6
2004,1207.3
2005,1079.6
2006,1171.6
2007,1192.5
2008,1292.9
2009,1207.9
2010,945.9
2011,1162.7
2012,1329.6
2013,1084.0
