Year,Annual_Temp_C
2004,9.44
2005,9.41
2006,9.7
2007,9.56
2008,9.02
2009,9.14
2010,7.94
2011,9.61
2012,8.74
2013,8.74
2014,9.88
2015,9.18
2016,9.29
2017,9.53
2018,9.45
2019,9.39
2020,9.62
2021,9.28
2022,10.03
2023,9.97
2024,9.79
