Year,Total_Nitrogen_kg_ha,Total_Phosphate_kg_ha,Total_Potash_kg_ha
2004,152,41,55
2005,150,40,54
2006,147,35,49
2007,148,34,47
2008,144,31,43
2009,139,23,33
2010,145,30,38
2011,146,29,39
2012,144,28,37
2013,137,28,40
2014,146,29,39
2015,146,29,38
2016,142,29,39
2017,138,30,37
2018,142,27,35
2019,137,26,34
2020,121,24,29
2021,130,22,28
2022,118,17,24
2023,125,17,23
2024,121,17,22
