Year,Region,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Nitrogen_kg_ha,Phosphorus_kg_ha
2004,England,Winter_Barley,350923,6.3,7.966666666666668,13.233333333333334,20.4,14.166666666666666,2.1,4.8999999999999995,11.533333333333331,7.4,9.066666666666666,15.966666666666663,13.475,16.375,21.4,2.6,8.333333333333336,8.866666666666665,12.2,32.900000000000006,220.5,169.10000000000002,270.0,230.4,230.4,213.9,200.3,889.9999999999999,60.89999999999998,28594.81000000001,72900.0,191.6,446.9,543.7,304.5,343.4,404.7000000000001,2.013703703703704,29.299999999999997,6.8,4.4,0.9,1533.1733333333334,4311.0,11091.48,0,0,0,0,65.40691860465117,7.054883720930232
2005,England,Winter_Barley,321312,6.4,7.599999999999999,12.866666666666667,20.533333333333335,14.966666666666669,1.7,4.766666666666667,11.1,7.533333333333332,8.816666666666666,15.816666666666666,13.075,16.175,20.9,3.4,8.100000000000001,9.433333333333335,11.45,32.449999999999996,166.0,161.3,174.5,243.8,243.8,120.8,120.7,745.6,164.2,26017.69,30450.25,189.3,441.9,576.4,325.3,386.0,406.1,3.3031518624641834,27.299999999999997,11.3,11.5,3.1999999999999997,1422.128333333333,2760.008333333333,11835.413333333334,0,0,0,0,62.0459649122807,6.611169590643275
2006,England,Winter_Barley,322258,6.6,7.2,12.133333333333336,22.03333333333333,16.099999999999998,2.0,4.333333333333333,11.866666666666667,8.666666666666668,8.233333333333334,16.95,13.675,17.65,25.2,1.3,7.800000000000002,10.166666666666664,10.1,35.85,191.9,224.3,152.9,275.3,275.3,128.9,161.2,844.4,122.79999999999995,50310.490000000005,23378.410000000003,165.4,429.7,667.4,345.29999999999995,440.2000000000001,399.4,4.364944408109875,26.1,16.200000000000003,3.4,3.8,1846.736666666667,2591.655,14705.046666666663,0,0,0,0,59.00017647058824,6.033823529411765
2007,England,Winter_Barley,318829,5.9,8.733333333333333,14.433333333333332,19.4,14.366666666666667,2.766666666666667,5.366666666666667,10.866666666666664,6.666666666666667,9.9,15.133333333333333,13.275,15.3,20.0,2.9,9.066666666666665,8.533333333333337,14.7,30.4,275.7,173.9,324.4,159.3,159.3,178.6,98.0,933.3,1.7000000000000457,30241.210000000003,105235.36,182.7,535.0,532.7,329.5,381.8,314.9,1.6421085080147968,23.0,4.0,5.8,0.7,1721.61,4909.253333333333,10334.380000000005,0,0,0,0,59.295,5.751411764705883
2008,England,Winter_Barley,345903,6.6,8.333333333333334,13.033333333333331,19.633333333333336,13.366666666666667,1.633333333333333,4.7,11.266666666666666,6.366666666666667,8.866666666666665,15.45,13.475,16.175,20.6,2.4,8.333333333333332,8.36666666666667,11.6,31.35,225.2,218.1,265.6,272.4,272.4,206.5,202.2,981.3,16.299999999999955,47567.61,70543.36000000002,232.5,465.0,505.2000000000001,297.0,305.3,393.4,1.90210843373494,29.6,11.9,7.1,5.8,1933.8199999999997,4103.52,9918.760000000002,0,0,0,0,58.88229411764706,5.520352941176471
2009,England,Winter_Barley,346598,6.3,6.133333333333333,13.866666666666667,20.266666666666666,14.733333333333334,0.4333333333333333,4.866666666666667,11.166666666666666,7.666666666666667,9.366666666666667,15.716666666666663,13.2,16.299999999999997,21.0,2.5,9.0,9.1,13.1,32.150000000000006,228.0,135.0,242.9,268.5,268.5,188.0,89.5,874.4,122.10000000000002,18225.0,59000.41,174.60000000000002,542.2,558.8,303.29999999999995,357.7,416.4,2.3005351996706462,42.400000000000006,6.3999999999999995,0.6,0.6,1264.5,3817.578333333333,11325.013333333332,0,0,0,1,56.09473372781065,3.331775147928994
2010,England,Winter_Barley,320475,6.3,3.9666666666666663,13.0,20.500000000000004,13.166666666666666,-1.7,3.733333333333333,11.1,6.166666666666667,8.366666666666667,15.8,12.775,16.200000000000003,21.6,1.9,9.266666666666667,9.400000000000004,10.1,32.400000000000006,175.9,112.8,194.7,243.1,243.1,158.3,175.8,726.5000000000001,192.5,12723.84,37908.09,165.0,527.4000000000001,547.4000000000001,317.20000000000005,309.6,441.1,2.81150487930149,57.3,14.4,11.9,4.4,943.76,3076.26,11221.700000000004,0,0,0,1,60.14301775147929,4.752307692307692
2011,England,Winter_Barley,298254,6.0,7.9,14.8,19.366666666666667,15.800000000000002,2.3666666666666667,5.266666666666667,10.166666666666666,8.5,10.033333333333331,14.766666666666666,12.975,15.2,19.8,2.2,9.533333333333331,9.2,15.1,29.3,260.3,79.19999999999999,207.5,165.8,165.8,137.6,132.5,712.8000000000001,213.3,6272.6399999999985,43056.25,148.4,557.7,517.7,325.7,321.79999999999995,400.9,2.4949397590361446,21.9,8.100000000000001,1.2,0.7,794.6399999999999,3064.083333333333,10026.123333333337,0,0,0,1,60.83821428571429,4.971547619047619
2012,England,Winter_Barley,328796,6.4,7.666666666666667,13.3,19.066666666666663,13.199999999999998,1.5,4.466666666666667,11.0,5.8999999999999995,8.883333333333333,15.033333333333331,12.45,15.85,20.8,3.1,8.833333333333332,8.066666666666666,11.65,30.1,242.7,216.9,351.29999999999995,315.0,315.0,203.1,178.0,1125.9,68.19999999999993,47045.61,123411.68999999996,198.7,488.9,440.4,322.2,322.2,312.0,1.2536293766011957,32.3,7.7,6.300000000000001,5.2,1926.795,5281.209999999999,8396.96,0,0,1,0,59.53547619047619,4.883928571428571
2013,England,Winter_Barley,256899,6.4,6.933333333333334,10.6,21.066666666666663,14.166666666666666,1.3,2.733333333333333,11.2,7.133333333333333,6.666666666666666,16.133333333333333,11.900000000000002,17.4,23.6,-0.3,7.866666666666667,9.866666666666664,7.4,33.400000000000006,238.9,168.3,149.5,256.1,256.1,113.9,111.7,812.8,182.2,28324.890000000003,22350.25,169.89999999999998,432.5,639.8000000000001,289.70000000000005,457.2000000000001,371.1,4.279598662207358,31.299999999999997,26.6,5.4,8.6,1122.0,2411.9333333333334,13478.453333333337,0,1,0,0,59.82035928143713,5.071377245508982
2014,England,Winter_Barley,363227,7.1,8.433333333333335,14.033333333333331,20.6,15.366666666666667,2.533333333333333,5.6000000000000005,11.066666666666668,8.200000000000001,9.816666666666666,15.833333333333332,13.525,16.25,22.7,3.1,8.43333333333333,9.53333333333333,14.45,32.5,357.6,197.9,205.3,222.1,222.1,159.0,122.4,982.9,96.79999999999995,39164.41,42148.09,214.5,459.9,636.3,279.0,433.2,376.1,3.09936678032148,17.200000000000003,5.6000000000000005,2.4,1.1,1942.7183333333332,3250.5833333333335,13107.779999999995,0,0,0,0,63.45796407185629,5.283113772455089
2015,England,Winter_Barley,375812,7.6,8.799999999999999,13.0,19.9,14.533333333333331,2.8666666666666667,4.233333333333333,10.466666666666669,7.1000000000000005,8.616666666666667,15.183333333333334,12.35,15.825,20.4,2.4,8.766666666666666,9.433333333333335,10.85,30.549999999999997,277.5,153.7,206.8,228.8,228.8,171.5,143.2,866.8,139.5,23623.689999999995,42766.240000000005,187.1,531.3,564.1,297.2,342.7,403.8,2.7277562862669247,22.800000000000004,7.4,2.4,2.3,1324.381666666667,3139.9133333333334,11225.590000000002,0,0,0,0,63.16542168674699,5.153915662650602
2016,England,Winter_Barley,375650,6.4,8.433333333333332,12.6,20.46666666666667,14.3,2.1666666666666665,4.066666666666666,11.699999999999998,7.066666666666666,8.333333333333332,16.083333333333332,13.425,16.75,21.5,1.8,8.533333333333333,8.766666666666671,10.000000000000002,33.25,232.6,192.2,199.7,199.0,199.0,104.4,127.1,823.5,108.10000000000002,36940.84,39880.09,193.0,500.1,530.2,327.6,400.3,338.20000000000005,2.6549824737105663,25.800000000000004,12.2,6.3,5.4,1601.6666666666663,3211.8416666666662,10851.426666666668,0,0,0,0,61.86746987951807,5.180060240963855
2017,England,Winter_Barley,360873,6.9,7.633333333333333,14.366666666666667,20.4,14.166666666666666,1.9333333333333331,5.666666666666667,11.6,7.233333333333333,10.016666666666667,16.0,14.375,16.049999999999997,20.9,4.1,8.7,8.800000000000002,15.05,33.0,222.6,144.6,245.3,212.6,212.6,163.2,163.60000000000002,825.1,110.10000000000002,20909.16,60172.08999999999,171.3,503.1,547.9,286.5,359.6,386.6,2.233591520587036,30.1,3.8,5.8999999999999995,2.6,1448.41,3924.8,11177.16,0,0,0,1,63.09090909090909,5.158545454545455
2018,England,Winter_Barley,335654,6.8,7.6,13.133333333333336,22.4,14.5,1.8999999999999997,4.933333333333334,11.8,6.866666666666667,9.033333333333337,17.1,14.35,17.75,24.8,1.4,8.200000000000001,10.600000000000003,12.45,36.3,237.9,226.2,116.9,213.9,213.9,102.3,125.7,794.9,156.89999999999998,51166.44000000001,13665.61,201.3,457.2,680.8,352.5,438.7000000000001,496.2,5.8237810094097515,25.799999999999997,11.6,4.9,1.0,2043.3400000000008,1998.99,15249.92,0,0,0,0,62.60606060606061,4.973333333333334
2019,England,Winter_Barley,387918,7.8,8.666666666666666,13.633333333333333,20.9,13.533333333333331,1.9333333333333336,4.666666666666667,11.633333333333333,6.599999999999999,9.15,16.266666666666666,12.625,17.275,22.4,3.8,8.966666666666665,9.26666666666667,12.45,33.8,191.1,165.8,261.5,361.1,361.1,154.2,197.2,979.5,72.69999999999999,27489.640000000003,68382.25,234.49999999999997,510.7000000000001,570.6,299.6,406.2,366.5,2.1820267686424475,26.4,6.5,5.6,5.0,1517.0700000000002,4253.733333333333,11925.54,0,0,0,0,63.353658536585364,4.923841463414634
2020,England,Winter_Barley,253279,6.0,8.5,14.7,20.4,14.5,2.9,4.633333333333333,11.6,7.266666666666667,9.666666666666668,16.0,13.65,16.525,21.7,2.5,10.066666666666668,8.8,14.0,33.0,372.0,89.1,271.79999999999995,256.1,256.1,180.6,162.39999999999998,989.0,139.10000000000002,7938.809999999999,73875.23999999998,180.8,692.3,508.7,294.4,326.8,481.2999999999999,1.8715967623252392,15.6,8.9,2.8000000000000003,3.1,861.3000000000001,4348.799999999999,10377.48,0,0,0,1,63.353658536585364,4.923841463414634
2021,England,Winter_Barley,345220,6.6,7.400000000000001,12.2,20.633333333333336,15.233333333333334,1.8333333333333333,3.233333333333333,11.766666666666666,8.0,7.716666666666667,16.200000000000003,12.65,16.625,22.1,0.9,8.966666666666669,8.86666666666667,8.149999999999999,33.60000000000001,295.20000000000005,175.1,178.10000000000002,228.9,228.9,128.39999999999998,108.2,877.3,146.79999999999995,30660.01,31719.610000000008,146.20000000000002,508.1,525.6999999999999,307.0,332.1,360.7999999999999,2.951712521055586,31.9,18.7,4.8,14.7,1351.1883333333333,2885.2200000000007,10846.943333333333,0,0,0,0,63.353658536585364,4.923841463414634
2022,England,Winter_Barley,371723,7.3,8.166666666666666,14.233333333333334,22.5,15.566666666666668,1.6000000000000003,5.166666666666667,11.733333333333334,8.333333333333334,9.7,17.116666666666667,13.8,18.25,24.0,3.2,9.066666666666666,10.766666666666666,14.1,36.35,225.3,120.2,104.8,328.4,328.4,58.9,113.8,778.7,275.0,14448.039999999995,10983.04,224.8,527.4,673.2,316.1,451.7999999999999,393.0,6.423664122137406,27.6,8.9,0.7,5.2,1165.94,1793.8266666666666,15147.000000000002,0,0,0,1,63.353658536585364,4.923841463414634
2023,England,Winter_Barley,390983,7.0,8.966666666666667,13.266666666666666,21.0,15.633333333333336,2.9333333333333336,5.066666666666666,11.733333333333334,8.333333333333334,9.166666666666666,16.366666666666667,14.5,16.2,22.2,3.5,8.2,9.266666666666666,12.5,34.1,255.1,230.3,237.0,348.4,348.4,195.1,157.2,1070.8,32.700000000000045,53038.08999999999,56169.0,190.49999999999997,462.3,580.8,322.4,324.6,481.5,2.450632911392405,23.0,8.3,4.6000000000000005,2.7,2111.083333333333,3878.9,12196.8,0,0,0,0,63.353658536585364,4.923841463414634
2024,England,Winter_Barley,325474,6.2,9.0,14.0,20.333333333333332,14.16666666666667,3.4666666666666663,6.366666666666667,11.0,7.366666666666667,10.183333333333334,15.666666666666666,13.8,16.474999999999998,21.4,4.4,7.633333333333333,9.333333333333332,15.55,32.0,301.9,265.8,161.0,306.8,306.8,127.1,183.9,1035.5,73.19999999999999,70649.64,25921.0,149.4,395.4,574.3,278.4,365.8,379.4,3.5670807453416145,13.8,3.7,6.9,1.2,2706.73,2522.333333333333,11677.433333333332,0,0,0,0,63.353658536585364,4.923841463414634
2004,Wales,Winter_Barley,8643,6.3,7.833333333333333,12.3,18.7,13.3,2.2333333333333334,4.566666666666666,11.033333333333331,7.333333333333333,8.433333333333334,14.866666666666664,12.6,15.225,19.9,2.2,7.7333333333333325,7.666666666666668,10.3,29.6,445.5,238.1,310.0,492.6,492.6,235.9,302.2,1486.2000000000005,48.10000000000002,56691.61,96100.0,180.6,438.4,494.2,256.8,308.0,391.0,1.5941935483870968,27.9,9.2,3.6,1.1,2007.9766666666667,4608.666666666666,9241.54,0,0,0,0,65.40691860465117,7.054883720930232
2005,Wales,Winter_Barley,7570,6.0,7.5,12.1,19.066666666666663,14.066666666666668,2.0666666666666664,4.7,10.7,7.266666666666667,8.4,14.883333333333333,12.3,15.2,19.5,3.6,7.4,8.366666666666665,10.2,29.65,315.6,252.5,231.9,503.7999999999999,503.7999999999999,157.3,171.4,1303.8000000000002,15.600000000000025,63756.25,53777.609999999986,154.3,431.1,547.9,283.09999999999997,375.7,380.2,2.3626563173781805,25.5,11.6,12.0,3.7,2121.0,3451.4449999999997,10446.626666666669,0,0,0,0,62.0459649122807,6.611169590643275
2006,Wales,Winter_Barley,6985,5.5,6.966666666666666,11.366666666666667,20.4,14.966666666666669,1.9666666666666668,4.233333333333333,11.366666666666667,8.166666666666666,7.800000000000001,15.883333333333336,12.95,16.425,23.1,1.4,7.133333333333334,9.033333333333337,9.0,32.650000000000006,403.9,407.2000000000001,190.1,469.2,469.2,154.7,186.2,1470.4,97.30000000000008,165811.84000000003,36138.009999999995,155.7,405.7000000000001,608.9,315.0,386.8,379.9,3.2030510257759075,30.2,15.7,4.3,3.9,3176.1600000000008,3019.4216666666666,12421.56,0,0,0,0,59.00017647058824,6.033823529411765
2007,Wales,Winter_Barley,6750,5.5,8.466666666666667,13.699999999999998,17.96666666666667,13.633333333333333,2.8666666666666667,4.966666666666667,10.4,6.933333333333333,9.333333333333332,14.183333333333334,12.625,14.175,18.5,2.7,8.73333333333333,7.566666666666668,13.000000000000002,27.549999999999997,532.7,258.7,447.9,246.6,246.6,279.8,167.5,1485.8999999999996,206.5999999999999,66925.68999999999,200614.40999999997,166.8,544.7,478.1,285.59999999999997,343.70000000000005,318.4,1.067425764679616,23.0,5.000000000000001,5.9,1.3,2414.533333333333,6352.715,8589.863333333335,0,0,1,0,59.295,5.751411764705883
2008,Wales,Winter_Barley,6748,6.1,8.166666666666666,12.3,17.833333333333332,12.6,1.6666666666666667,4.733333333333333,10.733333333333334,6.366666666666667,8.516666666666666,14.283333333333331,12.775,15.025,18.8,2.4,7.5666666666666655,7.099999999999998,10.55,27.85,421.4,298.4,434.4,511.4,511.4,340.2,344.5,1665.6,232.79999999999995,89042.55999999998,188703.36,205.3,451.1,437.2,260.0,247.1,374.9,1.0064456721915285,30.6,11.1,6.1,5.6,2541.373333333333,6204.679999999999,7796.733333333333,0,0,1,0,58.88229411764706,5.520352941176471
