Year,Annual_Frost_days
2004,46.6
2005,53.6
2006,51.7
2007,39.2
2008,57.9
2009,56.8
2010,93.4
2011,41.3
2012,54.9
2013,71.1
2014,31.7
2015,43.9
2016,54.0
2017,48.3
2018,54.0
2019,48.1
2020,37.7
2021,62.9
2022,44.0
2023,45.1
2024,36.1
