year,tmax_jan,tmin_jan,rain_jan,frost_jan,sun_jan,tmax_feb,tmin_feb,rain_feb,frost_feb,sun_feb,tmax_mar,tmin_mar,rain_mar,frost_mar,sun_mar,tmax_apr,tmin_apr,rain_apr,frost_apr,sun_apr,tmax_may,tmin_may,rain_may,frost_may,sun_may,tmax_jun,tmin_jun,rain_jun,frost_jun,sun_jun,tmax_jul,tmin_jul,rain_jul,frost_jul,sun_jul,tmax_aug,tmin_aug,rain_aug,frost_aug,sun_aug,tmax_sep,tmin_sep,rain_sep,frost_sep,sun_sep,tmax_oct,tmin_oct,rain_oct,frost_oct,sun_oct,tmax_nov,tmin_nov,rain_nov,frost_nov,sun_nov,tmax_dec,tmin_dec,rain_dec,frost_dec,sun_dec
2004,1.7171095609664917,-3.7286536693573,135.70965576171875,24.0,,5.087558746337891,-1.8463544845581055,41.1389274597168,19.0,,7.924689292907715,-1.2890510559082031,41.218467712402344,20.0,,14.6472749710083,3.207484245300293,41.070037841796875,2.0,,16.39434051513672,5.581882953643799,84.24989318847656,1.0,,20.86233901977539,9.721551895141602,79.83808135986328,0.0,,22.795223236083984,11.901521682739258,99.75770568847656,0.0,,23.85539436340332,12.957049369812012,97.27877807617188,0.0,,19.26009750366211,8.737330436706543,72.60398864746094,0.0,,14.536345481872559,6.089976787567139,79.86276245117188,0.0,,5.882912635803223,0.7266739010810852,54.93363952636719,16.0,,1.928403377532959,-3.044560670852661,50.258544921875,27.0,
2005,3.3364319801330566,-3.165531873703003,73.06475067138672,19.0,,0.74980628490448,-5.884528636932373,80.33854675292969,25.0,,8.011882781982422,-2.0133516788482666,50.19808578491211,17.0,,14.125747680664062,3.643345832824707,89.96084594726562,6.0,,18.567214965820312,6.877129554748535,90.92628479003906,0.0,,22.812131881713867,10.70314884185791,60.83256912231445,0.0,,23.343029022216797,12.37863540649414,120.2187728881836,0.0,,20.658077239990234,10.704469680786133,120.75165557861328,0.0,,20.191810607910156,9.625872611999512,60.24934768676758,0.0,,15.536136627197266,5.667810440063477,40.06375503540039,1.0,,5.79542350769043,-0.44111165404319763,42.96674346923828,14.0,,1.2545366287231445,-3.528219699859619,68.94314575195312,27.0,
2006,-0.1614808738231659,-6.899613857269287,30.245439529418945,30.0,,1.8648169040679932,-4.565108299255371,56.05509567260742,24.0,,5.452279090881348,-2.571786403656006,112.32621002197266,22.0,,12.758899688720703,3.297900915145874,90.51287841796875,7.0,,18.070383071899414,7.392541885375977,121.13440704345703,0.0,,22.84528923034668,10.430004119873047,64.69463348388672,0.0,,28.275623321533203,14.71629810333252,61.08489990234375,0.0,,19.306554794311523,10.534305572509766,159.80068969726562,0.0,,22.16676139831543,10.820679664611816,45.06781768798828,0.0,,16.730222702026367,6.846982955932617,60.85900115966797,0.0,,9.646294593811035,2.0842666625976562,46.03862380981445,6.0,,5.803775787353516,-0.5376936793327332,44.180152893066406,20.0,
2007,6.346622943878174,0.6284579634666443,84.61295318603516,13.0,,7.721144676208496,0.3239583969116211,81.28069305419922,13.0,,10.282733917236328,0.43190309405326843,61.69984817504883,12.0,,19.10075569152832,3.882452964782715,6.2446746826171875,1.0,,19.798147201538086,7.991016864776611,159.99411010742188,0.0,,22.76384735107422,11.829835891723633,112.81586456298828,0.0,,22.759742736816406,11.895303726196289,131.65118408203125,0.0,,21.951610565185547,11.284130096435547,97.16781616210938,0.0,,16.783885955810547,6.843694686889648,102.3507308959961,0.0,,12.549663543701172,3.5977094173431396,19.44390869140625,4.0,,4.8112945556640625,-0.6609923243522644,96.28636169433594,18.0,,2.6480464935302734,-2.546632766723633,70.24375915527344,19.0,
2008,5.580291748046875,-1.0124930143356323,53.5776252746582,22.0,,8.021381378173828,-1.8512613773345947,47.75846862792969,18.0,,7.573195457458496,-0.3583856225013733,98.5016860961914,17.0,,12.222135543823242,2.736375570297241,106.77601623535156,2.0,,20.43978500366211,8.290550231933594,38.313716888427734,0.0,,22.620481491088867,11.484259605407715,74.53164672851562,0.0,,23.629709243774414,12.023536682128906,97.22276306152344,0.0,,22.945110321044922,11.661620140075684,97.36834716796875,0.0,,16.58011817932129,7.228427410125732,62.53379440307617,0.0,,13.084630012512207,4.43462610244751,76.2359390258789,2.0,,7.596182346343994,0.44409528374671936,42.0024528503418,14.0,,2.453019142150879,-2.250009775161743,61.328125,24.0,
2009,0.03795303776860237,-6.9014997482299805,29.873411178588867,31.0,,2.4398627281188965,-3.994553327560425,65.65272521972656,25.0,,6.945107460021973,-0.23013125360012054,93.93854522705078,16.0,,17.82796287536621,4.817291259765625,40.43992614746094,0.0,,19.77118682861328,8.002157211303711,104.92367553710938,0.0,,20.268497467041016,9.779077529907227,112.10820007324219,0.0,,23.35968017578125,12.206611633300781,131.46559143066406,0.0,,24.989192962646484,12.216039657592773,51.982452392578125,0.0,,20.294673919677734,9.393790245056152,41.588966369628906,0.0,,11.996702194213867,4.0746870040893555,73.93295288085938,6.0,,9.864861488342285,2.670433759689331,79.89448547363281,3.0,,2.760194778442383,-3.2218382358551025,92.77027130126953,23.0,
2010,-1.3069961071014404,-6.034720420837402,50.54413986206055,31.0,,2.6291778087615967,-3.8480961322784424,48.31057357788086,22.0,,8.343907356262207,-1.1132152080535889,48.19440841674805,16.0,,14.569809913635254,1.937631368637085,24.27655029296875,6.0,,14.933697700500488,6.760401248931885,127.96896362304688,0.0,,21.60919952392578,10.779573440551758,87.46138000488281,0.0,,25.789594650268555,13.107088088989258,121.13280487060547,0.0,,21.116552352905273,11.507164001464844,168.8695068359375,0.0,,16.978120803833008,6.723790168762207,55.766361236572266,0.0,,12.093745231628418,3.0620150566101074,37.44260787963867,5.0,,7.296921730041504,1.6020398139953613,82.48352813720703,7.0,,-0.5095394849777222,-6.4614434242248535,117.00704956054688,30.0,
2011,2.5539896488189697,-3.179603099822998,71.05792999267578,23.0,,4.355545520782471,-2.7056524753570557,21.74605369567871,23.0,,10.951910018920898,-0.4140264689922333,29.670652389526367,17.0,,17.844615936279297,4.079929828643799,25.138851165771484,2.0,,20.78128433227539,6.384586334228516,67.77417755126953,2.0,,21.57069206237793,11.022703170776367,100.60736083984375,0.0,,21.135446548461914,10.489014625549316,139.60934448242188,0.0,,24.440441131591797,12.365767478942871,84.23180389404297,0.0,,21.22020721435547,9.58604907989502,64.86536407470703,0.0,,13.829008102416992,3.794888734817505,62.16038513183594,6.0,,7.941018581390381,0.13352233171463013,0.46406131982803345,19.0,,5.532210826873779,0.22936469316482544,145.1096649169922,11.0,
2012,3.724980354309082,-1.7632900476455688,116.24620819091797,18.0,,-0.5292986631393433,-8.08617877960205,25.840076446533203,24.0,,12.313264846801758,0.826545238494873,17.041685104370117,10.0,,13.41029167175293,2.577204942703247,52.88574981689453,5.0,,20.4211483001709,7.564675331115723,63.882301330566406,2.0,,22.181781768798828,10.759750366210938,120.50460052490234,0.0,,22.807252883911133,12.23026180267334,92.75172424316406,0.0,,25.034791946411133,12.300764083862305,101.42597961425781,0.0,,19.54387092590332,7.631892204284668,63.417015075683594,0.0,,12.81307315826416,3.7526888847351074,67.23432922363281,5.0,,7.700549125671387,1.7483919858932495,86.89862060546875,5.0,,3.537947177886963,-2.258545160293579,119.45088195800781,18.0,
2013,1.9690288305282593,-2.551659107208252,69.75119018554688,21.0,,0.7567139863967896,-4.653199672698975,71.64344787597656,27.0,,5.223175048828125,-2.8184800148010254,40.344600677490234,25.0,,13.017574310302734,3.7024405002593994,52.19785690307617,7.0,,15.591912269592285,6.641254425048828,155.51754760742188,0.0,,20.715415954589844,10.117768287658691,116.39732360839844,0.0,,26.262592315673828,12.91130542755127,43.76360321044922,0.0,,23.88273811340332,11.511574745178223,84.99264526367188,0.0,,17.852195739746094,8.721356391906738,105.56505584716797,0.0,,14.544999122619629,5.625113010406494,80.69440460205078,1.0,,6.1823883056640625,0.8723562955856323,79.9413833618164,8.0,,5.192869663238525,-1.1916353702545166,31.089885711669922,19.0,
