year,tmax_jan,tmin_jan,rain_jan,frost_jan,sun_jan,tmax_feb,tmin_feb,rain_feb,frost_feb,sun_feb,tmax_mar,tmin_mar,rain_mar,frost_mar,sun_mar,tmax_apr,tmin_apr,rain_apr,frost_apr,sun_apr,tmax_may,tmin_may,rain_may,frost_may,sun_may,tmax_jun,tmin_jun,rain_jun,frost_jun,sun_jun,tmax_jul,tmin_jul,rain_jul,frost_jul,sun_jul,tmax_aug,tmin_aug,rain_aug,frost_aug,sun_aug,tmax_sep,tmin_sep,rain_sep,frost_sep,sun_sep,tmax_oct,tmin_oct,rain_oct,frost_oct,sun_oct,tmax_nov,tmin_nov,rain_nov,frost_nov,sun_nov,tmax_dec,tmin_dec,rain_dec,frost_dec,sun_dec
2004,8.387486457824707,2.6230828762054443,129.21368408203125,7.0,33.1307373046875,8.812019348144531,2.018627643585205,51.95935821533203,10.0,69.63927459716797,10.588075637817383,3.167159080505371,97.52877044677734,3.0,132.79537963867188,12.435118675231934,5.2107391357421875,74.66032409667969,0.0,179.271484375,15.667810440063477,6.935839653015137,50.352725982666016,0.0,255.58648681640625,18.355710983276367,10.575095176696777,89.2126235961914,0.0,246.27101135253906,18.111316680908203,10.391501426696777,61.38021469116211,0.0,229.66802978515625,19.306758880615234,11.953969955444336,116.3013916015625,0.0,199.02442932128906,17.037242889404297,10.924745559692383,109.25786590576172,0.0,139.34840393066406,12.18804931640625,5.704766750335693,165.33743286132812,1.0,84.6260986328125,10.701388359069824,6.218289852142334,67.27315521240234,0.0,35.08842849731445,9.2283353805542,4.1250081062316895,109.13861083984375,2.0,26.784299850463867
2005,9.136667251586914,4.309685230255127,141.4649200439453,3.0,33.089969635009766,7.79612398147583,2.3746395111083984,59.029624938964844,4.0,59.39097213745117,11.137190818786621,4.682581901550293,75.9449234008789,4.0,113.53167724609375,12.284540176391602,4.616209506988525,98.51476287841797,0.0,185.3287353515625,14.282796859741211,6.44481086730957,99.41155242919922,0.0,251.51998901367188,18.304105758666992,10.808300018310547,48.0914421081543,0.0,231.4861602783203,19.294166564941406,12.070775032043457,62.395721435546875,0.0,226.17210388183594,18.973506927490234,11.610421180725098,74.27519226074219,0.0,200.71798706054688,17.326757431030273,10.427984237670898,94.18876647949219,0.0,133.57142639160156,14.414470672607422,8.70610523223877,140.02320861816406,0.0,75.18763732910156,9.948416709899902,3.7851243019104004,112.37979125976562,0.0,45.43114471435547,8.532904624938965,3.564969778060913,86.62288665771484,3.0,26.870759963989258
2006,8.287893295288086,2.829942226409912,64.78021240234375,5.0,34.480255126953125,8.146780967712402,2.425388813018799,47.575828552246094,5.0,56.68817138671875,8.808663368225098,2.7227835655212402,115.14192962646484,7.0,109.5948257446289,12.273900985717773,4.434144020080566,49.6891975402832,3.0,197.4080810546875,14.618426322937012,7.213428497314453,124.12898254394531,0.0,235.7725372314453,19.157360076904297,10.118513107299805,27.3946533203125,0.0,266.1048889160156,21.55438804626465,12.562618255615234,59.83668899536133,0.0,269.1799011230469,18.78289222717285,11.58572006225586,70.31562042236328,0.0,188.30584716796875,18.233848571777344,11.471980094909668,184.79530334472656,0.0,142.1265411376953,14.918116569519043,8.919119834899902,142.24310302734375,0.0,85.02892303466797,10.763859748840332,4.353674411773682,156.8926239013672,1.0,46.636749267578125,9.050954818725586,4.1080098152160645,202.37936401367188,1.0,27.226097106933594
2007,9.380788803100586,3.8489630222320557,132.39112854003906,5.0,35.243934631347656,9.091498374938965,2.4156601428985596,115.36663055419922,8.0,58.483421325683594,10.477612495422363,3.1607072353363037,91.27069091796875,1.0,133.30995178222656,15.567132949829102,5.915467739105225,29.183958053588867,0.0,219.97886657714844,15.444650650024414,6.9862260818481445,79.43154907226562,0.0,253.55850219726562,17.889616012573242,10.305261611938477,128.7840576171875,0.0,226.67315673828125,18.0114688873291,10.871158599853516,138.88470458984375,0.0,230.1746368408203,18.165678024291992,11.26431941986084,107.25080108642578,0.0,199.06866455078125,16.956384658813477,9.56235122680664,65.30267333984375,0.0,139.3049774169922,15.005232810974121,8.506011962890625,67.10470581054688,0.0,84.2901840209961,11.487256050109863,6.425405502319336,79.55711364746094,1.0,41.2133903503418,9.748876571655273,4.12916374206543,154.39390563964844,1.0,27.67054557800293
2008,9.129853248596191,3.5580992698669434,201.99583435058594,4.0,32.62690734863281,9.450730323791504,2.4776883125305176,77.95903778076172,5.0,64.25809478759766,9.701888084411621,2.6425511837005615,132.54737854003906,3.0,126.17308807373047,11.81788158416748,4.021787643432617,54.28171157836914,2.0,198.3039093017578,17.344778060913086,8.523783683776855,44.74427795410156,0.0,263.14971923828125,17.050458908081055,9.148441314697266,123.6535873413086,0.0,243.2682342529297,18.470195770263672,11.58835506439209,118.19219970703125,0.0,219.64346313476562,17.854787826538086,12.2033109664917,179.92074584960938,0.0,165.04290771484375,16.03401756286621,8.804729461669922,115.48844909667969,0.0,130.76976013183594,12.506356239318848,5.869542598724365,180.37551879882812,1.0,86.58331298828125,9.748859405517578,4.832068920135498,103.8443832397461,3.0,41.742244720458984,7.706449508666992,1.8205543756484985,92.56503295898438,11.0,27.238075256347656
2009,7.221272945404053,1.5258630514144897,176.13839721679688,6.0,34.587764739990234,7.983968257904053,2.3577520847320557,33.66556167602539,11.0,54.205604553222656,10.688199043273926,3.7000033855438232,64.36748504638672,2.0,130.8665313720703,12.66753101348877,5.2929534912109375,125.42171478271484,0.0,187.55418395996094,14.740334510803223,7.239377021789551,106.84695434570312,0.0,252.84226989746094,18.886425018310547,10.030972480773926,75.76620483398438,0.0,275.68017578125,18.134199142456055,11.385132789611816,173.84823608398438,0.0,238.48696899414062,17.873178482055664,11.745427131652832,167.8457794189453,0.0,189.45565795898438,16.555747985839844,9.246566772460938,49.76321029663086,0.0,140.7918243408203,14.5262451171875,8.525503158569336,137.74075317382812,0.0,78.08602905273438,10.252153396606445,4.750008583068848,280.6301574707031,3.0,42.572662353515625,6.137125492095947,0.21046161651611328,100.17134094238281,14.0,27.77210807800293
2010,5.3640851974487305,-1.087662935256958,84.59818267822266,19.0,38.31781768798828,6.3011603355407715,-0.8039652109146118,49.25230026245117,17.0,60.92680358886719,9.589879989624023,1.5766308307647705,88.65240478515625,10.0,130.61895751953125,13.305888175964355,4.178764820098877,65.07550811767578,1.0,206.21685791015625,14.921051979064941,6.123138427734375,45.259788513183594,0.0,259.4367980957031,18.855066299438477,10.56342887878418,48.009521484375,0.0,267.726806640625,18.340919494628906,12.35936450958252,130.32086181640625,0.0,211.31173706054688,17.836265563964844,10.707465171813965,43.89518737792969,0.0,202.994140625,16.804603576660156,10.827157020568848,138.82278442382812,0.0,137.5252227783203,13.656344413757324,7.350297927856445,77.31978607177734,1.0,89.85462951660156,8.003839492797852,3.2355339527130127,121.91754150390625,6.0,45.35358428955078,3.3919124603271484,-1.6819807291030884,38.04043197631836,18.0,29.10104751586914
2011,6.196136951446533,1.3835967779159546,64.60235595703125,13.0,35.96701431274414,9.526102066040039,4.545483112335205,120.905029296875,1.0,57.531124114990234,10.62145709991455,2.8870301246643066,38.63208770751953,4.0,133.71853637695312,15.13115119934082,6.85820198059082,37.67326354980469,0.0,208.1822967529297,14.062711715698242,8.439244270324707,100.33069610595703,0.0,237.8677215576172,15.70476245880127,8.232233047485352,103.28299713134766,0.0,247.04727172851562,17.51668357849121,10.675897598266602,51.34278106689453,0.0,228.2015838623047,17.045129776000977,10.171612739562988,58.863101959228516,0.0,188.75054931640625,15.97903060913086,11.201330184936523,124.77080535888672,0.0,134.00685119628906,13.79068660736084,9.823488235473633,133.136474609375,0.0,72.64419555664062,12.089841842651367,7.657320499420166,108.77604675292969,0.0,43.790245056152344,8.341114044189453,4.409427165985107,140.35647583007812,1.0,26.537626266479492
2012,8.613676071166992,5.544316291809082,96.24974060058594,1.0,35.12248229980469,9.314973831176758,5.611161708831787,42.805240631103516,2.0,53.95572280883789,11.921947479248047,5.781021595001221,26.644384384155273,0.0,139.23448181152344,10.689526557922363,3.6216535568237305,75.97177124023438,1.0,180.83755493164062,14.678656578063965,7.045539379119873,51.030052185058594,0.0,241.50096130371094,15.692490577697754,9.936574935913086,178.9693145751953,0.0,203.56993103027344,17.162036895751953,10.894867897033691,106.5407485961914,0.0,205.15469360351562,18.65340232849121,12.701668739318848,114.74267578125,0.0,200.03204345703125,15.598095893859863,9.749455451965332,77.1198959350586,0.0,140.84547424316406,11.901875495910645,6.459260940551758,104.84695434570312,1.0,85.77877807617188,8.878297805786133,4.272299289703369,106.22545623779297,2.0,42.94434356689453,7.98602294921875,3.868817090988159,117.50053405761719,3.0,27.474994659423828
2013,7.915681838989258,2.5777478218078613,148.96224975585938,8.0,29.476064682006836,7.624553203582764,1.8753979206085205,62.97978973388672,4.0,59.184600830078125,6.743834495544434,0.8153886198997498,69.18791198730469,14.0,103.43760681152344,11.047886848449707,3.406019926071167,88.95347595214844,4.0,198.42742919921875,13.629914283752441,6.5813212394714355,93.39625549316406,0.0,246.96347045898438,17.669227600097656,9.041986465454102,67.7064208984375,0.0,249.3114776611328,22.138999938964844,12.786739349365234,79.41326904296875,0.0,275.30938720703125,18.85883331298828,12.159862518310547,65.48908996582031,0.0,199.90908813476562,16.939973831176758,10.294317245483398,59.72160720825195,0.0,134.24607849121094,14.828019142150879,8.779906272888184,166.01882934570312,0.0,77.34951782226562,9.464975357055664,3.4918925762176514,72.02823638916016,2.0,42.76765823364258,9.508882522583008,3.874718189239502,195.1471710205078,1.0,25.356576919555664
