Year,Region,Country,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring
2011,Sud,France,Winter_Barley,134116,4.406,8.893346786499023,18.04396470387777,23.84739367167155,19.01848538716634,1.0525602300961812,6.405131657918294,12.480375607808432,8.594983100891113,12.22454818089803,18.16388463973999,22.261876106262207,22.626490592956543,26.28919982910156,2.961212158203125,11.638833045959473,11.36701806386312,1100.2093362808228,1634.7496175765991,202.0816421508789,142.3675422668457,221.62519454956055,212.3774871826172,100.08355331420898,167.34249114990234,153.67940139770508,778.4518661499023,165.50438356861855,20268.517091102098,49117.72685913056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,0.0,1740.378879837092,4025.57446705815,0.0,1,0,0,1
2012,Est,France,Winter_Barley,443650,6.723,5.773228804270427,16.292531967163086,23.90856552124023,15.629958152770996,-0.332220991452535,5.478272199630737,12.757238070170084,6.737101793289185,10.885402083396912,18.33290179570516,21.029239654541016,22.649958610534668,26.425779342651367,2.990437269210815,10.814259767532349,11.15132745107015,979.686187505722,1649.9611616134644,209.5479431152344,203.37265396118164,218.2434844970703,246.4818115234375,120.02980422973631,182.84222412109375,115.9398193359375,877.6458930969238,66.31035662159707,41360.43637921453,47630.21852542297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,4.0,2.0,2213.793111135006,4001.0363688372913,0.0,1,0,0,0
2012,Nord,France,Winter_Barley,176215,8.079,6.919937451680501,15.011284510294596,22.390208562215168,14.879499117533364,1.31918207804362,5.695845444997151,12.350056966145834,7.457139492034912,10.353564977645874,17.3701327641805,19.198122024536133,21.08979225158691,24.99104118347168,4.066573619842529,9.315439065297443,10.040151596069334,931.8208479881288,1563.3119487762451,184.24478244781497,161.43390655517578,224.8350524902344,220.42203521728516,119.40572357177734,198.4051513671875,124.3703842163086,790.9357767105103,153.02047300801064,26060.906185665222,50550.80082828645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,2.0,2.0,1671.4164411142249,3905.414711796863,0.0,1,0,0,1
2012,Ouest,France,Winter_Barley,207411,6.934,8.736613114674887,15.945927302042644,22.799969991048176,16.351579030354817,2.5514017740885415,6.150364398956299,12.881831487019856,8.376075267791748,11.04814585049947,17.840900739034016,19.962666511535645,21.66447162628174,25.070966720581055,4.35949182510376,9.795562903086344,9.91813850402832,994.3331265449524,1605.6810665130615,207.48403549194336,216.35868453979492,172.39258766174316,287.4145088195801,158.90888595581055,141.42510604858398,92.44783973693848,883.6498165130615,60.30643320545937,46811.080375790494,29719.2042807118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,2390.362302817859,3075.63904461838,0.0,1,0,0,0
2012,Sud,France,Winter_Barley,166518,5.537,6.931207180023193,16.242231051127117,25.473276774088543,17.144915262858074,-0.9068849484125772,5.5642391840616865,13.385276794433594,7.921372413635254,10.903235117594402,19.42927678426107,21.896278381347656,24.33701515197754,27.745800018310547,2.9868593215942383,10.67799186706543,12.087999979654947,981.291160583496,1748.634910583496,165.53643035888672,265.76629066467285,167.66812896728516,265.3233871459961,175.9073429107666,116.4984245300293,98.44708251953124,864.2942371368408,79.66201258168007,70631.72125365937,28112.601471390168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,5.0,1.0,2897.7123534478624,3257.6704856045644,0.0,1,0,0,0
2013,Est,France,Winter_Barley,567385,6.279,5.432959238688151,12.625350952148438,24.77087910970052,15.371782302856444,-0.4432236918558677,4.124277094999949,12.693920453389486,7.734974543253581,8.374814023574194,18.732399781545,18.493767738342285,24.60413074493408,27.511398315429688,0.674733579158783,8.501073857148487,12.076958656311032,753.7332621216774,1685.9159803390503,188.99491119384768,277.34199142456055,179.15761947631836,313.08409881591797,144.97300338745117,129.41076278686523,105.97334671020508,958.5786209106444,14.622371192123524,76918.58020734102,32097.452616421288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0,4.0,3.0,2322.687599108403,3356.0521519403087,0.0,1,1,0,0
2013,Nord,France,Winter_Barley,171683,7.897,6.076951026916504,11.85071881612142,23.410600662231445,15.362248738606771,1.032478893796603,4.032339910666148,12.6222349802653,8.251973946889242,7.941529363393784,18.01641782124837,17.549525260925293,22.995783805847168,25.89131546020508,0.8707638382911682,7.818378905455272,10.788365681966146,714.7376427054405,1621.4776039123535,152.45107650756836,154.88598823547363,163.0925636291504,246.64278411865232,70.24463844299316,120.71488189697266,100.89399337768556,717.0724124908447,226.88383722767617,23989.669351679277,26599.18431112847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,1.0,4.0,1230.031623550278,2938.343769881309,0.0,1,1,0,1
2013,Ouest,France,Winter_Barley,216475,6.651,8.460830688476562,13.332183837890623,23.982497533162434,17.129348119099934,2.406494935353597,5.029698848724365,13.01201629638672,9.3146120707194,9.180941343307495,18.497256914774574,18.1002516746521,23.52777671813965,26.703529357910156,2.765977382659912,8.30248498916626,10.970481236775717,826.2847208976746,1664.753122329712,247.48133087158203,221.7466163635254,124.26267623901369,267.2821617126465,140.26813125610352,104.64873886108398,70.76789093017578,860.7727851867676,83.18346453175332,49171.56186867251,15441.212706081931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,2.0,2.0,2035.8426779104368,2298.51864731049,0.0,1,0,0,0
2013,Sud,France,Winter_Barley,184442,5.125,7.42040999730428,13.489964485168455,24.78753089904785,16.49288813273112,-0.5217780967553457,4.4523866176605225,13.013344764709473,8.0280970732371,8.97117555141449,18.900437831878666,18.198606491088867,24.441737174987793,27.74647331237793,2.1868722438812256,9.037577867507936,11.77418613433838,807.4057996273041,1701.0394048690796,241.1237335205078,354.9777526855469,175.59317016601562,295.41527557373047,209.2261199951172,129.06320190429688,111.3527374267578,1067.1099319458008,123.15368222727989,126009.20490168128,30832.96140895132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,8.0,0.0,3184.567736188638,3318.7877964252693,0.0,1,0,0,0
2014,Est,France,Winter_Barley,584845,6.926,8.133421738942465,16.747775395711262,23.59144465128581,17.677896817525227,2.454635659853617,5.134011189142863,12.547590255737305,8.589032332102457,10.940893292427065,18.06951745351156,21.461939811706543,24.409855842590332,24.507368087768555,2.0835378170013428,11.613764206568398,11.043854395548504,984.6803963184356,1626.25657081604,228.0542907714844,128.52609252929688,287.52620697021484,199.6034889221191,52.740333557128906,181.6092758178711,241.13758850097656,843.7100791931152,100.24617052540566,16518.956460849382,82671.31969467882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,1406.1902636556442,5195.459815190274,0.0,1,0,0,1
