Year,Region,Crop,Area_hectares,Yield_t_per_ha
2015,Ouest,Spring_Barley,38062,6.085
2015,Sud,Spring_Barley,19294,3.899
2016,Est,Spring_Barley,243235,4.896
2016,Nord,Spring_Barley,85210,5.192
2016,Ouest,Spring_Barley,32517,5.503
2016,Sud,Spring_Barley,12517,3.926
2004,Est,Oats,42728,4.365
2004,Nord,Oats,12593,6.562
2004,Ouest,Oats,36300,5.334
2004,Sud,Oats,28577,3.514
2005,Est,Oats,35863,4.141
2005,Nord,Oats,9636,6.113
2005,Ouest,Oats,33278,5.151
2005,Sud,Oats,25690,3.387
2006,Est,Oats,30507,3.963
2006,Nord,Oats,10797,5.623
2006,Ouest,Oats,32100,5.04
2006,Sud,Oats,25327,3.218
2007,Est,Oats,31609,3.498
2007,Nord,Oats,8752,5.496
2007,Ouest,Oats,21060,4.318
2007,Sud,Oats,23626,3.218
2008,Est,Oats,30066,4.287
2008,Nord,Oats,7655,6.347
2008,Ouest,Oats,29961,5.239
2008,Sud,Oats,21248,3.494
2009,Est,Oats,35614,4.593
2009,Nord,Oats,8970,6.354
2009,Ouest,Oats,31470,5.433
2009,Sud,Oats,24226,3.596
2010,Est,Oats,29173,4.312
2010,Nord,Oats,10284,5.991
2010,Ouest,Oats,26769,4.859
2010,Sud,Oats,17586,3.69
2011,Est,Oats,25160,3.955
2011,Nord,Oats,5929,5.562
2011,Ouest,Oats,23716,4.796
2011,Sud,Oats,18170,3.009
2012,Est,Oats,26241,4.576
2012,Nord,Oats,8779,6.249
2012,Ouest,Oats,26744,5.447
2012,Sud,Oats,19340,3.589
2013,Est,Oats,33875,4.226
2013,Nord,Oats,11704,6.175
2013,Ouest,Oats,29085,5.174
2013,Sud,Oats,19017,3.49
2014,Est,Oats,34945,3.831
2014,Nord,Oats,11257,5.931
2014,Ouest,Oats,28927,5.202
2014,Sud,Oats,20681,3.517
2015,Est,Oats,30054,4.324
2015,Nord,Oats,8263,6.047
2015,Ouest,Oats,23326,5.595
2015,Sud,Oats,21217,3.322
2016,Est,Oats,28186,3.727
2016,Nord,Oats,8715,5.635
2016,Ouest,Oats,22114,4.533
2016,Sud,Oats,19902,3.324
